cpg	gene	GSE40279	GSE87571	EPIC	GSE55763
cg23256579	PRR4	0.30991281352416716	0.4378606290599125	0.32018709079814534	0.2512064418314918
cg27615582	PRR4	0.41484801702015595	0.45796065162088356	0.44362339742150075	0.3754092402998776
cg01620164	FIGN	0.5928319361270299	0.5594609049981373	0.5391511898721975	0.5935940913864761
cg17076667	BAG3	0.5979939173233145	0.5215687650191257	0.47265739479580704	0.46368069308681975
cg23928726	PEX10	0.6258881797537843	0.5971710906019833	0.5172948848762606	0.6120729719716677
cg14079463	C6orf174	0.6321243731600287	0.6678672783649067	0.5526994200822517	0.6434227567660201
cg04580344	C6orf174	0.6382216372498208	0.6675036985821764	0.5500079659535889	0.6438988184270518
cg00695391	MMEL1	0.6701329798599133	0.6959544056811571	0.6126574680901372	0.7274286848006728
cg20823695	PEX10	0.6750744255325325	0.6672417625613988	0.5714721923160809	0.6347723636438561
cg06972969	PHYHIPL	0.6783018128358219	0.684318711323426	0.6024439147934117	0.6839637941873006
cg23629166	PEX10	0.679540985118626	0.6617358672418381	0.5795788608628548	0.6666290196666662
cg03890691	DOC2A	0.6797135761567982	0.6887693862960621	0.5606991416935578	0.5951615147108945
cg14371731	ZMIZ1	0.6854588963444627	0.7136557874149103	0.5967786534735434	0.7483783047316838
cg23626733	PEX10	0.6870671797136888	0.6516156421954907	0.5462760659492323	0.6251448664842515
cg06636541	BAHCC1	0.6950478411502886	0.6859229026134578	0.6516469545908308	0.7105725235652428
cg13942826	PRR4	0.6979976530794971	0.6758711721614128	0.6447171632283087	0.7310736772604189
cg07003407	LOC284837	0.6993480460440888	0.7167445447041348	0.6185634443342009	0.7757559839642347
cg14266237	KLF1	0.70077050099844	0.659077813169242	0.5720031590462973	0.6992271585651295
cg24439334	PEX10	0.7055156080853788	0.6665750002483514	0.6273279364450361	0.6561688390225853
cg20073313	PXDNL	0.70568148733149	0.6925522815017054	0.6030369697610926	0.7291613987859163
cg02258201	HRCT1	0.7089315786121165	0.726540830132021	0.615847854364759	0.7452406747931071
cg20110742	na	0.7094577396599454	0.7009123725320642	0.6079330612125894	0.7554906594671914
cg25362652	na	0.7096174088530627	0.6652753610164635	0.5761886761399714	0.6915638097997108
cg16440561	SPEG	0.7167879037256283	0.670670748836771	0.5659877697374172	0.6993800333250352
cg05609159	na	0.7182048789457379	0.7347706439081093	0.6793906537763101	0.7486918977819299
cg09187505	na	0.7190393014413985	0.7227748851079052	0.6398157731728046	0.7355232502113969
cg05056638	na	0.7212899698953751	0.6882230469024233	0.6131236109136594	0.6910397310118097
cg20665157	CADPS2	0.7217154297223436	0.7416050997458837	0.6277775377156554	0.7204898755252004
cg00325531	na	0.7258403247799283	0.6809584759053098	0.5957880159932787	0.7045533390312411
cg14389669	ADAMTSL2	0.7298088776258789	0.7043712124693544	0.5605162896117495	0.7375232872033104
cg17052170	LY6E	0.7313061955567304	0.6873530572701697	0.6298393900126673	0.8018854906048705
cg16987606	GPRC5C	0.7342579064196946	0.7262679335364434	0.6086857752785365	0.7162327200706635
cg13929323	na	0.7347551207479184	0.706846900911635	0.6960212206504364	0.8405279697284963
cg03358636	KIAA0226	0.7352850647771615	0.7093073397103576	0.6393919694283606	0.7544539715812035
cg21184711	CADPS2	0.7360936668217433	0.7441760094099543	0.6655742569443578	0.6984114523407159
cg14255824	TJP2	0.7363123832283939	0.7859647137899515	0.6643007368724504	0.8284137186589634
cg22133973	na	0.7366301586437582	0.7399450780951475	0.636536873307951	0.7436512618633049
cg19206146	na	0.7366451940401452	0.6845023281732833	0.5849392487923462	0.6840976006341428
cg00387658	CASS4	0.7371896901305627	0.7810904121521731	0.6307812644774028	0.7610021234767786
cg13158272	na	0.7382791382020106	0.7049948133851559	0.6194075535738052	0.7609669164294068
cg23149300	na	0.7390265504175441	0.7461600682514485	0.6365484841136542	0.7705899745886514
cg02891686	SOD3	0.7402466194027421	0.7149182753101426	0.5755700831687853	0.7326526221239539
cg09183450	AHNAK	0.7415175228002551	0.7358348455015208	0.6574858218535765	0.7405119061730996
cg26612727	ZPBP2	0.7416284803420512	0.6993899454119548	0.6270275532006335	0.7402343840040502
cg01605783	LOC284837	0.7426524684493555	0.7275390989503802	0.6462219386587928	0.7614880338714017
cg20704654	NCRNA00028	0.7437232306434423	0.701919942218196	0.6243941879207566	0.7215606534107566
